id,조사연도,조사시작일자,조사종료일자,한글보통명,학명,경도,위도,개체수,시도명
008020194000000245,2017.0,2017-05-17,2017-05-17,붉은머리오목눈이,Paradoxornis webbianus,129.30981500001192,36.89925799999148,3.0,경상북도
008020194000000246,2017.0,2017-05-17,2017-05-17,까치,Pica pica,129.30981500001192,36.89925799999148,1.0,경상북도
008020194000000248,2017.0,2017-05-17,2017-05-17,노랑할미새,Motacilla cinerea,129.31102200001197,36.89844799999145,2.0,경상북도
008020194000000249,2017.0,2017-05-17,2017-05-17,꿩,Phasianus colchicus,129.31102200001197,36.89844799999145,1.0,경상북도
008020194000000250,2017.0,2017-05-17,2017-05-17,까치,Pica pica,129.31102200001197,36.89844799999145,1.0,경상북도
008020194000000251,2017.0,2017-05-17,2017-05-17,참새,Passer montanus,129.30880300001192,36.90045599999149,2.0,경상북도
008020194000000252,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.30880300001192,36.90045599999149,1.0,경상북도
008020194000000253,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.30880300001192,36.90045599999149,2.0,경상북도
008020194000000254,2017.0,2017-05-17,2017-05-17,곤줄박이,Parus varius,129.30880300001192,36.90045599999149,1.0,경상북도
008020194000000256,2017.0,2017-05-17,2017-05-17,멧새,Emberiza cioides,129.3088220000119,36.89857199999149,1.0,경상북도
008020194000000257,2017.0,2017-05-17,2017-05-17,제비,Hirundo rustica,129.3088220000119,36.89857199999149,2.0,경상북도
008020194000000258,2017.0,2017-05-17,2017-05-17,방울새,Carduelis sinica,129.3088220000119,36.89857199999149,3.0,경상북도
008020194000000259,2017.0,2017-05-17,2017-05-17,파랑새,Eurystomus orientalis,129.3060770000118,36.89830799999155,2.0,경상북도
008020194000000260,2017.0,2017-05-17,2017-05-17,알락할미새,Motacilla alba leucopsis,129.3060770000118,36.89830799999155,1.0,경상북도
008020194000000261,2017.0,2017-05-17,2017-05-17,노랑할미새,Motacilla cinerea,129.3060770000118,36.89830799999155,1.0,경상북도
008020194000000262,2017.0,2017-05-17,2017-05-17,검은등할미새,Motacilla grandis,129.3060770000118,36.89830799999155,2.0,경상북도
008020194000000263,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.3060770000118,36.89830799999155,1.0,경상북도
008020194000000265,2017.0,2017-05-17,2017-05-17,방울새,Carduelis sinica,129.3054930000118,36.900238999991565,2.0,경상북도
008020194000000266,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.3054930000118,36.900238999991565,1.0,경상북도
008020194000000267,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.3054930000118,36.900238999991565,1.0,경상북도
008020194000000268,2017.0,2017-05-17,2017-05-17,꾀꼬리,Oriolus chinensis,129.3054930000118,36.900238999991565,1.0,경상북도
008020194000000269,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.30434400001178,36.89975599999159,1.0,경상북도
008020194000000270,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.30434400001178,36.89975599999159,1.0,경상북도
008020194000000271,2017.0,2017-05-17,2017-05-17,멧비둘기,Streptopelia orientalis,129.2270960000098,36.90218699999315,2.0,경상북도
008020194000000272,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.2270960000098,36.90218699999315,1.0,경상북도
008020194000000273,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.2270960000098,36.90218699999315,1.0,경상북도
008020194000000274,2017.0,2017-05-17,2017-05-17,쇠유리새,Luscinia cyane,129.2270960000098,36.90218699999315,1.0,경상북도
008020194000000275,2017.0,2017-05-17,2017-05-17,진박새,Parus ater,129.22665900000982,36.902122999993146,2.0,경상북도
008020194000000276,2017.0,2017-05-17,2017-05-17,큰유리새,Cyanoptila cyanomelana,129.22665900000982,36.902122999993146,1.0,경상북도
008020194000000277,2017.0,2017-05-17,2017-05-17,멧비둘기,Streptopelia orientalis,129.22550800000977,36.89974399999318,2.0,경상북도
008020194000000278,2017.0,2017-05-17,2017-05-17,흰배지빠귀,Turdus pallidus,129.22550800000977,36.89974399999318,1.0,경상북도
008020194000000279,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.22550800000977,36.89974399999318,1.0,경상북도
008020194000000280,2017.0,2017-05-17,2017-05-17,쇠딱다구리,Dendrocopos kizuki,129.22511200000974,36.900028999993175,1.0,경상북도
008020194000000281,2017.0,2017-05-17,2017-05-17,진박새,Parus ater,129.22511200000974,36.900028999993175,1.0,경상북도
008020194000000282,2017.0,2017-05-17,2017-05-17,벙어리뻐꾸기,Cuculus saturatus,129.22320700000972,36.89996599999321,1.0,경상북도
008020194000000283,2017.0,2017-05-17,2017-05-17,때까치,Lanius bucephalus,129.22320700000972,36.89996599999321,1.0,경상북도
008020194000000284,2017.0,2017-05-17,2017-05-17,큰부리까마귀,Corvus macrorhynchos,129.22320700000972,36.89996599999321,1.0,경상북도
008020194000000285,2017.0,2017-05-17,2017-05-17,노랑턱멧새,Emberiza elegans,129.2230880000097,36.90040999999322,3.0,경상북도
008020194000000286,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.2230880000097,36.90040999999322,1.0,경상북도
008020194000000288,2017.0,2017-05-17,2017-05-17,쇠박새,Parus palustris,129.21154200000947,36.89466699999343,4.0,경상북도
008020194000000289,2017.0,2017-05-17,2017-05-17,큰부리까마귀,Corvus macrorhynchos,129.21154200000947,36.89466699999343,2.0,경상북도
008020194000000290,2017.0,2017-05-17,2017-05-17,어치,Garrulus glandarius,129.21154200000947,36.89466699999343,2.0,경상북도
008020194000000291,2017.0,2017-05-17,2017-05-17,벙어리뻐꾸기,Cuculus saturatus,129.21154200000947,36.89466699999343,4.0,경상북도
008020194000000292,2017.0,2017-05-17,2017-05-17,쇠유리새,Luscinia cyane,129.21261300000947,36.893365999993414,2.0,경상북도
008020194000000293,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.21261300000947,36.893365999993414,2.0,경상북도
008020194000000294,2017.0,2017-05-17,2017-05-17,되지빠귀,Turdus hortulorum,129.22003300000964,36.90072799999328,1.0,경상북도
008020194000000295,2017.0,2017-05-17,2017-05-17,때까치,Lanius bucephalus,129.22003300000964,36.90072799999328,2.0,경상북도
008020194000000296,2017.0,2017-05-17,2017-05-17,어치,Garrulus glandarius,129.22003300000964,36.90072799999328,3.0,경상북도
008020194000000297,2017.0,2017-05-17,2017-05-17,동고비,Sitta europaea,129.30497100001176,36.924590999991565,3.0,경상북도
008020194000000298,2017.0,2017-05-17,2017-05-17,오목눈이,Aegithalos caudatus magnus,129.30497100001176,36.924590999991565,2.0,경상북도
008020194000000299,2017.0,2017-05-17,2017-05-17,노랑턱멧새,Emberiza elegans,129.30497100001176,36.924590999991565,1.0,경상북도
