id,학명,한글보통명,위도,경도,조사일자,조사연도,시도명,개체수,geometry
008000000002341389,Oriolus chinensis,꾀꼬리,36.77419389078992,128.5529168999547,2014-06-26,2014,경상북도,,POINT (338640.2564000003 465078.9412999991)
008000000002097851,Turdus hortulorum,되지빠귀,36.85947194101951,129.04299999959,2014-06-26,2014,경상북도,1,POINT (382195.8838999998 475366.6417999994)
008000000002341266,Oriolus chinensis,꾀꼬리,36.7503888907959,128.57105610029993,2014-06-26,2014,경상북도,,POINT (340303.1593000004 462463.3785999995)
008000000002097865,Turdus hortulorum,되지빠귀,36.880166940883285,129.02286109990726,2014-06-26,2014,경상북도,2,POINT (380350.9941999996 477625.432)
008000000002285854,Oriolus chinensis,꾀꼬리,36.86686111047662,128.54561110047018,2014-06-26,2014,경상북도,,POINT (337821.6547999997 475353.1216000002)
008000000002097815,Turdus hortulorum,되지빠귀,36.834806111266275,129.09002810008883,2014-06-26,2014,경상북도,1,POINT (386450.3130000001 472719.6297999993)
008000000002342919,Oriolus chinensis,꾀꼬리,36.78158306092673,128.5342780994412,2014-06-26,2014,경상북도,,POINT (336962.9687000001 465872.1807000004)
008000000002275909,Turdus hortulorum,되지빠귀,36.82538889117905,129.09227810013206,2014-06-26,2014,경상북도,1,POINT (386673.9507999998 471678.7555)
008000000002343261,Oriolus chinensis,꾀꼬리,36.82208306113391,128.58002809957597,2014-06-26,2014,경상북도,,POINT (340973.0274999999 470433.5924999993)
008000000002097864,Turdus hortulorum,되지빠귀,36.87905611074871,129.01200000003007,2014-06-26,2014,경상북도,1,POINT (379385.1446000002 477481.6623999998)
008000000002342970,Oriolus chinensis,꾀꼬리,36.795278061026664,128.57769390055705,2014-06-26,2014,경상북도,,POINT (340813.8448000001 467455.1710999999)
008000000002275913,Turdus hortulorum,되지빠귀,36.839666941053935,129.11380609947986,2014-06-26,2014,경상북도,1,POINT (388559.8679999998 473305.8421999998)
008000000002096216,Oriolus chinensis,꾀꼬리,36.807806110469194,126.65347190040902,2014-06-26,2014,충청남도,,POINT (169077.4407000002 467740.1026000008)
008000000002097418,Turdus hortulorum,되지빠귀,36.8189438910722,129.0899439002594,2014-06-26,2014,경상북도,1,POINT (386481.3121999996 470958.8324999996)
008000000002342922,Oriolus chinensis,꾀꼬리,36.782250000618305,128.5801938995832,2014-06-26,2014,경상북도,,POINT (341060.8810000001 466012.9265000001)
008000000002097860,Turdus hortulorum,되지빠귀,36.876111111230074,129.0089439003383,2014-06-26,2014,경상북도,2,POINT (379119.5192999998 477149.0425000004)
008000000002285851,Oriolus chinensis,꾀꼬리,36.86513889108709,128.55177809955563,2014-06-26,2014,경상북도,,POINT (338374.7087000003 475170.8988000005)
008000000002097835,Turdus hortulorum,되지빠귀,36.84963889115489,129.05388890002976,2014-06-26,2014,경상북도,1,POINT (383190.5558000002 474296.0587000009)
008000000002096205,Oriolus chinensis,꾀꼬리,36.805056111240916,126.7427780996392,2014-06-26,2014,충청남도,,POINT (177045.9084999999 467409.7666999996)
008000000002097847,Turdus hortulorum,되지빠귀,36.859306110944004,129.03561110031467,2014-06-26,2014,경상북도,1,POINT (381537.2516000001 475334.1590999998)
008000000002343104,Oriolus chinensis,꾀꼬리,36.80475000080317,128.5079439002322,2014-06-26,2014,경상북도,,POINT (334571.4545999998 468405.9767000005)
008000000002294602,Turdus hortulorum,되지빠귀,36.84980611090317,129.03508309997613,2014-06-26,2014,경상북도,1,POINT (381512.6317999996 474278.7051999997)
008000000002343251,Oriolus chinensis,꾀꼬리,36.817056110692086,128.56205610029002,2014-06-26,2014,경상북도,,POINT (339378.5368999997 469849.3116999995)
008000000002097401,Turdus hortulorum,되지빠귀,36.8075000012915,129.08586889950945,2014-06-26,2014,경상북도,2,POINT (386145.3839999996 469680.6721000001)
008000000002096222,Oriolus chinensis,꾀꼬리,36.81097194071827,126.6518611001149,2014-06-26,2014,충청남도,,POINT (168934.9789000005 468091.9516000003)
008000000002294615,Turdus hortulorum,되지빠귀,36.8596388906796,129.01972189959787,2014-06-26,2014,경상북도,2,POINT (380119.2933 475340.9987000003)
008000000002343281,Oriolus chinensis,꾀꼬리,36.833888890871485,128.56033309974774,2014-06-26,2014,경상북도,,POINT (339194.2847999996 471715.0045999996)
008000000002097812,Turdus hortulorum,되지빠귀,36.83088889116193,129.09938889947966,2014-06-26,2014,경상북도,1,POINT (387295.0456999997 472303.1489000004)
008000000002096220,Oriolus chinensis,꾀꼬리,36.81097194071827,126.6518611001149,2014-06-26,2014,충청남도,,POINT (168934.9789000005 468091.9516000003)
008000000002097808,Turdus hortulorum,되지빠귀,36.830693890622584,129.09099999994558,2014-06-26,2014,경상북도,2,POINT (386547.017 472265.0895000007)
008000000002294243,Oriolus chinensis,꾀꼬리,37.7654388911909,126.52603110003602,2014-06-26,2014,경기도,,POINT (158237.7779999999 574070.8531999998)
008000000002275905,Turdus hortulorum,되지빠귀,36.822971941308644,129.0869439001262,2014-06-26,2014,경상북도,1,POINT (386203.8306 471400.0760999992)
008000000002294233,Ardeola bacchus,흰날개해오라기,37.75713611086426,126.52816109996378,2014-06-26,2014,경기도,,POINT (158420.8096000003 573148.3546999991)
008000000002097816,Turdus hortulorum,되지빠귀,36.83697194081013,129.08347189996843,2014-06-26,2014,경상북도,2,POINT (385860.1213999996 472947.2490999997)
008000000002097820,Picus canus,청딱다구리,36.84150000106143,129.08736110004008,2014-06-26,2014,경상북도,1,POINT (386196.1253000004 473457.4187000003)
008000000002097822,Turdus hortulorum,되지빠귀,36.841943890740204,129.06830610037366,2014-06-26,2014,경상북도,2,POINT (384495.1101000002 473469.7072000001)
008000000002294608,Dendrocopos leucotos,큰오색딱다구리,36.85444389130738,129.02888889946172,2014-06-26,2014,경상북도,2,POINT (380949.1575999996 474781.7168000005)
008000000002097819,Turdus hortulorum,되지빠귀,36.84063889119148,129.0720281003349,2014-06-26,2014,경상북도,2,POINT (384830.2997000003 473332.0552999992)
008000000002097842,Dendrocopos major,오색딱다구리,36.85511111106156,129.12355609993634,2014-06-26,2014,경상북도,1,POINT (389391.6004999997 475039.3836000003)
008000000002275915,Turdus hortulorum,되지빠귀,36.842888890932954,129.11786109959982,2014-06-26,2014,경상북도,2,POINT (388913.7068999996 473671.4800000004)
008000000002097832,Dendrocopos major,오색딱다구리,36.84425000122877,129.0799439003825,2014-06-26,2014,경상북도,1,POINT (385527.7688999996 473748.2207999993)
008000000002097855,Turdus hortulorum,되지빠귀,36.86525000098261,129.0672780998471,2014-06-26,2014,경상북도,2,POINT (384347.3949999996 476054.5916000009)
008000000002097866,Dendrocopos major,오색딱다구리,36.880166940883285,129.02286109990726,2014-06-26,2014,경상북도,2,POINT (380350.9941999996 477625.432)
008000000002097840,Turdus hortulorum,되지빠귀,36.85341694084608,129.12319390020863,2014-06-26,2014,경상북도,1,POINT (389363.4746000003 474850.6182000004)
008000000002097849,Cuculus canorus,뻐꾸기,36.859306110944004,129.03561110031467,2014-06-26,2014,경상북도,1,POINT (381537.2516000001 475334.1590999998)
